nr_dzinnika;imie;nazwisko
1;Alexandra;Hypnar
2;Ksawery;Baji
3;Miron;Lipczyk
4;Nazar;Dyjankiewicz
5;Matilda;Flajszman
6;Sylvia;Kikisz
7;Diana;Banarska
8;Ewa;Bedulla
9;Kaya;Szalikowska
10;Liwia;Igies
11;Marianna;Smalska
12;Nikoleta;Pajurkowska
13;Aiden;Voca
14;Lucja;Rydrych
15;Ina;Hodowaniec
16;Jeremy;Hemo
17;Leo;Matoszko
18;Emma;Chajdziony
19;Roksana;Piazza
20;Philipp;Uchrynowski
21;Dylan;Imporowicz
22;Katarzyna;Piesko
23;Pavlo;Balner
24;Christopher;Szokalewicz
25;Milo;Haremski
26;Enrico;Denkewicz
27;Marian;Mecler
28;Nicola;Awgustynowicz
